NumÇro de sÇrie,Type de ressources
04:D3:B6:C5:35:02:89,Bois
04:73:83:BA:35:02:89,Bois
04:93:CF:BF:35:02:89,Bois
04:A3:F3:26:34:02:89,Bois
04:B3:9C:81:36:02:89,Bois
04:23:A4:26:34:02:89,MÇtal
04:93:85:BA:35:02:89,MÇtal
04:43:78:49:36:02:89,MÇtal
04:53:C5:BC:35:02:89,MÇtal
04:E3:BC:BD:35:02:89,MÇtal
04:B3:6D:56:36:02:89,RÇsidus 
04:B3:0F:C2:35:02:89,RÇsidus
04:33:D5:2B:34:02:89,RÇsidus
04:03:7F:9F:35:02:89,RÇsidus
04:A3:8D:0A:35:02:89,RÇsidus
04:B3:95:C8:35:02:89,êlectronique
04:73:32:BE:35:02:89,êlectronique
04:F3:69:2E:34:02:89,êlectronique
04:03:F9:26:34:02:89,êlectronique
04:73:78:B8:35:02:89,êlectronique
04:93:EF:C6:35:02:89,RÇsidus dangereux
04:13:F7:B4:35:02:89,RÇsidus dangereux
04:93:1F:3B:34:02:89,RÇsidus dangereux
04:53:AC:29:34:02:89,RÇsidus dangereux
04:A3:8D:29:34:02:89,RÇsidus dangereux
04:53:F2:33:34:02:89,Conteneurs dangereux
04:03:50:2F:34:02:89,Conteneurs dangereux
